content,sentiment
"💭 is it okay if 17 y.o girl (me) have a crush on 27 y.o man?? this feeling juts comes right away and i can't control it, if that's not ok, what should i do?? salty in aja gapapa kalo emang ini nyeleneh...",N
💭 Hari ini panas banget🥵,N
"🤍 maaf ngeluhhhh terus soal relationship, makin kesini komunikasi kita makin jelek banget, aku berusaha reach up terus, ngalah sama perasaanku sendiri terus. dia semakin jauh, i really love him, i don't want him go but .... susah banget minta waktu dia sedikit aja buat (cont) https://t.co/C0LlHBETTJ",N
"aku sekarang 🥲 itu aja dia baru bales dari pagi aku spamming, semalem juga gitu baru dibales pagi, telfonpun gamau angkat. balesnya setelah aku dm dari ig karena last seen ignya 7 menit yang lalu, aku salah ya dia jadi kaya marah gitu?? 🥲 mau nangissss",N
"💭 rekomendasiin film di netflixx yang manis tapi ga too much kaya ini donggg, makasii https://t.co/zj6WiWsSb7",O
"🤍 eh kalian udah baca ini belum? PLIS TAKUT BANGETTT FAKKK ARGHHH😭 ibuknya jugaaa ya Allah:"") https://t.co/KMxvbqkGxB",O
💭 mending beli banyak buku tapi belum punya rak buku atau beli rak buku tapi buku nya dikit?,C
💭  ayo drop lagu vibes kena sinar matahari hangat gitu ...,O
"🤍 hai mau tanya dong, kalian liat jadwal event anime gitu darimana ya? sekalian cantumin akun ya huhu, thanks in advance",O
"🤍 bener nih, apalagi kalo ada yang ngechat cuma ""P"" doang mana nyepam lagi, ga pernah aku bales https://t.co/JsLxcIc8Jy",A
"🤍 Awalnya diajak split bill tapi gamau, pas balik malah ditagih wkwkwk 
Maaf balesan aku kasar🙏 https://t.co/FmV6gPYB0W",N
"Cara biar nangis gimana help, udh mau nangis tapi rasanya air mata ketahan ga mau keluar. Atau saranin lagu indo yang bener2 bikin nangisss 💭",O
km pikir dgn km menghasut org lain buat ikut benci sm aku itu kren khh kidss??😱😱😝😝😝😆😆😆😁😁😁 💭,N
"💭 kalian kalo jadi sender gimana? thank u

- titipan https://t.co/Nc0WdHJ2Fr",O
🤍 unlabeled and rant let's be moots,N
💭 goals kalian di bulan November?!,O
"💭 antara dua ini mana yang cocok ditonton berdua sama pacar?

atau ada saran movie yang agak romance, manis tapi ga too much terus lucu gituu? makasiii https://t.co/ltnfOMZ1PV",C
"🤍 Zootopia+ guyss🥹
https://t.co/arbdiUXRwM",O
"🤍 how to say ""aku ga mau kehilanganmu"" without say that?",N
"🤍 akt 24 apakabarrrr???? Apakah udah mulai persiapan menghadapi utbk? Kalo iya, belajarnya tps aja atau tka juga? Bingung bgt sama kebijakan yg baru 😔😔😔",O
💭 choose your fighter https://t.co/LWX44xqNMO,O
🤍 guyss asdfghjkl aku wa an pertama kali nya sama crush omggg eidgeihdiehdie seneng bgttt tolonginnnn. walaupun aku disini agak bego yh gapapa seneng bgt plis akhirnya bisa ngobrol 😭😃🙏🏻 https://t.co/CXYw3uCFNj,O
"guys kan kalo spotify banyak game gitu ya kayak receiptify dll, kalo apple music ada ngga ya?? 💭",O
"💭 guys kalian yang di rumahnya pake AC, tolong saranin AC yang awet dong. Sender ada rencana pengin beli AC
Tia✨",O
💭 kasih tau film di N yang must watch dong,O
"saran kado ultah buat ayah dong. benda atau makanan boleh, tapi jangan yang manis2. tia! 🤍",C
🤍 HELP ADA YANG PAHAM GA? https://t.co/Ge8ca7E1M4,O
"💭 💭 aku kudu gimana, tolong sarannya😔 pengen move on tp susah https://t.co/WlBlr95X71",O
🤍 saran film dong,O
🤍 kucing kalo ndusel ndusel ke kaki atau tangan kita kenapa ya? Bukan apa apa aku geli-an org nya😭,O
🤍 ultah beli kue + kado buat diri sendiri yay/nay?,O
💭 saranin nama kelas 11 ips 1 dong fwends! 🤩,O
🤍 rant acc mutualan yuu? aku baru pindah akunn 🤍,O
💭 orang-orang di bumi pada jahat-jahat ya...,N
💭 ges kalian namain kontak crush or bi ef apa nich,O
🤍 Guys Tarik tunai di ATM bri pakai debit mandiri kenak berapa ribu?,O
"💭 halo, aku cewe dan pengen cari temen cewe jugaaa yang rumahnya di daerah tangerang. kalo ada rep yaaa",O
🤍 kalian tau lord huron ga?,O
"💭 maaf kl oot🥲 tp mau nyari yg namanya diandra sm safitri (?) yg ntn konser txt di ice section blue sm pink kl gasalah dan kita foto bareng di shuttle dari st cisauk ke ice nya di tgl 12 sekitar jam set 11an,  fotonya  yg dari alat deteksi suhu gt (?), aku mau mnt (cont)",O
fotonya tp lupa ga mutwualan/minta kontak😭 kl ad yg tau nnti ku dm yah makasi banyak🥲,O
💭 wkwk ril [cry] https://t.co/wxRYaIpvqS,N
"🤍 pengen ngumpulin fans nya yungblud, say hi dongg 😍",E
🤍 gue gada pacar tapi ini berasa banget buset https://t.co/ABtxZO6DsJ,N
"🤍 halooo ada yang mau bantu like lomba foto kreatif kelas ku ga? penilaiannya berdasarkan jumlah like nih, nanti aku dm linknya 😺",O
🤍 saranin earphone bluetooth yg bagus dan awet dong.. Makasih ya 😺,O
"🤍 no salty ya gais, lofyu ol 😔🫶 https://t.co/sm8TXB5fig",O
"💭 ak ngantuk tp banyak tugas buat besok, jam segini enaknya tidur dulu baru nugas atau nugas dulu baru tidur ya? 🤔",N
💭 yg pernah 𝚋𝚎𝚕𝚒 charger type c buat hp oppo di sopi bisikin 𝚗𝚊𝚖𝚊 𝚝𝚘𝚔𝚘nya dong,O
hmccchhh gmn yhhhhhh 💭 https://t.co/uSopyww7zf,N
"🤍 ngertiii sekarang?? ngerti dongg, masa ga ngertiii?!?!! https://t.co/2hUT5e73Rp",N
"💭 sp yg pusink mikirin konsep buat confess doang? yh sy.

kayak bakal diterima sj, hufft 😔😔",N
"🤍 Kpop

coba sebutkan ke realistisan idol kalian?!🥲
sender duluan : https://t.co/D4V0S6qKmE",O
"🤍 cw // 18+, 21+, alkohol

mau tanya kalo beli alkohol di cafe, supermarket, sm g0f00d tuh beneran dimintain ktp?? btw sender dah ada ktp dan sm ortu dibolehin minum jg",O
🤍 siapa punya playlist yang cocok buat kasih ke mas crush :&lt;,O
💭 saran menu buat dimakan nanti malam dong!,O
🤍 sudahkah kalian mengucapkan happy international ex day ke mantan kalian itu,O
💭 cita cita kalian selain tentang profesi apa? kalo aku pengen punya rumah yang gede buat orang orang yang gapunya rumah terus di dalemnya ada beberapa ruangan khusus buat stray cats 😢,O
"💭 trauma gue ke tempat rame gak pake tas yang ada sletingnya, DOMPET GUE ILANGGGGGGG plis kalo warga jakarta liat ada dompet item jatoh isinya kartu pelajar, kartu perpustakaan, kartu golongan darah waktu jaman sd, sama foto gue &amp; foto jaehyun ukuran 3x4 hubungin gue (cont)",N
plizzz reply twit ini,O
"🤍 malam semua aku mau minta tolong like buat lomba gambarku dongg, nanti aku kabarin, terima kasii 🫶 https://t.co/HN0iAmGASn",O
🤍 jeda per step an skincare tuh berapa lama ya?,O
"🤍 ges no salty ya, kalo mau keliling UI tuh jalan kaki atau naik apa? 😭 sender penasaran",O
"🤍
BANTU PILIHIN DONG!
Mending ngecat kamar atau pasang wallpaper? dilihat dari segi budget dan keriwehan. thank u",C
"🤍 bang, pesen bubur ayam gak pake bubur ya ❤️",O
"💭 tanggapan kalian gimana? Umur 22thn tapi masih apa kata mama

^ titipan https://t.co/wV0BwtWO1c",O
💭 saran topik waktu call an sama crush donggg,O
"🤍 nanya dong. kalian kalo lagi ngetweet di rant nyambat gitu, suka ada mutual yang reply dibales ga? trus kalo dia ngereply kamu bales sejujurnya atau kaya “gapapa”? aku bingung soalnya:) aku ga berharap sambatanku di reply sama moots. tapi ga enak juga kalo ga dibales:)",C
Kucing kalo mau tidur ndusel ndusel kaya ngendus ngendus dulu itu kenapa sih? Normal kah? 💭,O
"aku mau foto aesthetic buat wallpaper boleh ga? bingung mau pake wallpaper apa 😭, makasih ya sebelumnya 🤍",O
💭  halo! aku lagi butuh responden kuesioner untuk tesisku. kriterianya mahasiswa yang pernah mengikuti demo atau aksi turun ke jalan (min. 1x). bagi yang bersedia bisa rep/like ya nanti aku dm ada reward buat yang beruntung! :D,O
💭 wkakakak adek gue ditanya nnti sma mw sekolah dimana malah jawab dimana aja yang penting lapangannya luas,N
💭 kok bisa ya telor ayam tp rasanya ga kaya ayam?? 🤔,O
💭 what's your dream job?,O
"💭 AYOOO KITA MUTUALAN IG, JANGAN LUPA FB YAAA",O
💭 rant &amp; unlabeled acc temenan sama aku yuk?,O
🤍 HELPPPPP BLITZ KAMERA HP SENDER GAK NYALA AAAAAAAAAAAA TAPI KALO SENTERNYA MAH NYALA udah coba hapus data kamera tp ttep gabisa 😥😥 gimana yah ni samsung a32 btw https://t.co/8AGt9lTDAQ,O
"💭 kau bisa patahkan hatiku, tapi tidak jiwa haluuu ku~",N
"💭 mutualan ig yuk gais, aku baru bikin akun, drop linknya yaa-!",O
"💭 halo, boleh minta tolong bantu like sama komen video tugasku diyoutube? terimakasih banyak sebelumnya!! nanti aku dm hehe",O
awokwokwokwokwok [stress] 🤍 https://t.co/lI1gcnJSKz,N
🤍 ada yang tau ngga ya ini font apa? makasihh https://t.co/hyZQdZYrhB,O
"💭 cw // 18+

guys tolong baca dan maaf jangan di salty ya🙏 kalau ada yg paham mohon penjelasannya https://t.co/5Jw8eviVuG",O
"💭 AKUN DUMP ACCOUNT IG MARI MERAPAT, YUK MUTUALAN, TP FOLLBACK YH😘 https://t.co/s3RzLDwRRO",O
lagi nungguin temen gua dipinggir jalan terus tiba tiba ada abang ojol berenti depan gua trs ngasih duit 2rebu dengan begonya gua terima sambil mlongo ga ngerti😭 yaaAllah random banget 💭 https://t.co/P3zbqcIl5Z,N
"💭 How was your day guys? Did you go outside today? If yes, were the skies looked pretty? Too bad mine was just grey and dark because of the rain 😕 But what about tomorrow? Maybe the rain will eventually stop and the skies can be back to their beautiful color. I can't (cont)",N
"wait to see them, and I think you should too! I want you- I need you to be alive to see how pretty they are, Love. 🤗",N
"💭 titipan.
kenapa ya bapak2 tuh kl ngomel auranya bisa bener2 menakutkan dan bahkan bisa bkin mewek walaupun sbenernya beliau ga marah beneran, tp kl ibu mau ngomel kyk apa jg kitanya biasa aja no hard feelings gitu, ortu kalian gini gaksi?",O
gak garam ya mau nanya aku liat di yt pl prem mereka itu sekitar 59rb an tapi kok di luaran bisa jadi 20rb an kebawah gitu yaa?? itu aman ga yaa? tia 💭,C
🤍 ini udh expired kok masih bisa dipake ya? btw aku udh remove all payment kok https://t.co/osVQfpuiL1,O
💭 cara bersihin noda di buku kaya gini gimana ya? 😔😔 https://t.co/doBd4Acz0A,O
saranin lagu buat playlist ini dong 🤍 https://t.co/hWQGNpehvg,O
🤍 NOTICE me kakak kakakk 🫶🏻 https://t.co/Tsv3ZQMytE,O
"🤍 bantuin temen sender dongg, makasii https://t.co/O1yHBETJbl",O
"💭 revi3w nya dong, masih maju mundur mau pake ini st aku combi acne prone https://t.co/b2AtbbQqgj",O
