content,sentiment
 is it okay if 17 yo girl me have a crush on 27 yo man this feeling juts comes right away and i can t control it if that s not ok what should i do salty in aja gapapa kalo emang nyeleneh,N
 panas banget,N
 maaf ngeluhhhh relationship kesini komunikasi jelek banget usaha reach up ngalah asa i really love him i don t want him go but  susah banget aja cont https tco c0llhbettj,N
 aja bales pagi spamming semalem gitu dibales pagi telfonpun gamau angkat balesnya dm ig last seen ignya 7 menit salah ya kaya marah gitu  nangissss,N
 rekomendasiin film netflixx manis ga too much kaya donggg makasii https tco zj6wiwssb7,O
 eh udah baca plis takut bangettt fakkk arghhh ibuknya jugaaa ya allah https tco kmxvbqkgxb,O
 mending beli buku rak buku beli rak buku buku nya dikit,C
  ayo drop lagu vibes kena sinar matahari hangat gitu,O
 hai liat jadwal event anime gitu darimana ya cantumin akun ya huhu thanks in advance,O
 bener nih kalo ngechat p doang nyepam ga bales https tco jslxcic8jy,A
 ajak split bill gamau pas tagih wkwkwk maaf balesan kasar https tco fmv6gpyb0w,N
biar nang gimana help udh nang air mata tahan ga saranin lagu indo bener2 bikin nangisss ,O
km pikir dgn km hasut org benci sm kren khh kidss ,N
 kalo sender gimana thank u - titip https tco nc0wdhj2fr,O
 unlabeled and rant let s be moots,N
 goals november,O
 cocok tonton dua pacar atau saran movie romance manis ga too much lucu gituu makasiii https tco ltnfomz1pv,C
 zootopia guyss https tco arbdiuxrwm,O
 how to say ga hilang without say that,N
 akt 24 apakabarrrr udah siap hadap utbk kalo iya ajar tps aja tka bingung bgt bijak yg ,O
 choose your fighter https tco lwx44xqnmo,O
 guyss asdfghjkl wa an kali nya crush omggg eidgeihdiehdie neng bgttt tolonginnnn bego yh gapapa neng bgt plis ngobrol  https tco cxyw3ucfnj,O
guys kalo spotify game gitu ya kayak receiptify dll kalo apple music ngga ya ,O
 guys rumah pake ac tolong saranin ac awet sender rencana pengin beli ac tia,O
 kasih tau film n must watch,O
saran kado ultah ayah benda makan manis2 tia ,C
 help paham ga https tco ge8ca7e1m4,O
  kudu gimana tolong saran ken move on tp susah https tco wlblr95x71,O
 saran film,O
 kucing kalo ndusel ndusel kaki tangan ya geli-an org nya,O
 ultah beli kue  kado yay nay,O
 saranin nama kelas 11 ips 1 fwends ,O
 rant acc mutualan yuu pindah akunn ,O
 orang bumi jahat ya,N
 ges namain kontak crush or bi ef nich,O
 guys tarik tunai atm bri pakai debit mandiri nak ribu,O
 halo cewe ken cari temen cewe jugaaa rumah daerah tangerang kalo rep yaaa,O
 tau lord huron ga,O
